"Статьи","Название","Creation Date","Modified Date","Slug","Creator"
"1738730152089x278286442663516100 , 1712305691774x736832489087041500 , 1712069464368x537460878575140860 , 1712058132906x997408608230047700 , 1738730124134x329526648416058200 , 1738730069853x832299585586010000 , 1738730271828x270648811393223940 , 1738816427044x848300616842328200 , 1738816724053x291115079246725900 , 1738829618299x379508484267391200 , 1738830010751x152063017986691520 , 1739186949650x741385583077077900 , 1739190667060x551713023260292700 , 1739332102625x899070094301565700 , 1739332555411x282264156234542940 , 1739332707057x417766013637403500 , 1739332875475x692753203888818700 , 1739334065505x426407696602981800 , 1739334320445x979625341147951200 , 1739334696972x223086690308885280 , 1739334977684x456400816257826100 , 1739335426812x947340050710818700 , 1739339156626x150713000129895970 , 1739516987960x383191671698150960 , 1739516999579x592712911811468240 , 1739517020927x958344832025055100 , 1739517153102x863005816969538700 , 1739517223005x512964398477363100 , 1739517270924x201109571600843760 , 1739696329436x668860950910552600 , 1739696347648x607067325319719200 , 1739696368701x323834173079025080 , 1739696569610x778131121155716300 , 1739696841341x411881976088487740 , 1739852578550x423162632779553500 , 1739852926396x461434350771139840 , 1739961734028x938517505482944600 , 1739961714474x214236122359484400 , 1739961675761x767768449026911600 , 1739963188593x309624584713383000 , 1739963214805x630718302522949000 , 1739963236132x908245967514476500 , 1740020637564x370900785680524200 , 1740020847217x481388970163484350 , 1740020610214x486580763508651460 , 1740020596933x302639052524614500 , 1740034072074x602119458108528900 , 1740034091884x341314952185158840 , 1740034163575x820780580149148300 , 1740034291833x199252024070842400 , 1740214906514x771720460230533600 , 1740214927922x153127964991631700 , 1740461563262x524766214745777200 , 1740461666635x892214431584701400 , 1740461715578x275049107037984350 , 1740571278769x673595332079082600 , 1740571154775x917523392682907400 , 1740625276009x621508593779129600 , 1740625221720x307806942146958460 , 1740625179693x134337881279218640 , 1740625077650x760553604399228900","LLM (Большие языковые модели)","Feb 4, 2025 10:17 pm","Feb 27, 2025 10:40 am","","(deleted thing)"
"1737438522300x108528671051218940 , 1737124147410x450854307097739260 , 1738816382623x803540596300795400 , 1738830107841x318795682461302300 , 1739187009174x602559317862673200 , 1739333967201x886821519720787000 , 1739334155505x782480720134382000 , 1739334237951x193802560369448860 , 1739334294430x778633715181891200 , 1739852505877x373050776493462300 , 1739716219835x883070675088707000 , 1740020812395x288018192273600480 , 1740034304149x729357929454743700 , 1740214752458x394156011088291400 , 1740294848144x230977964173272320 , 1740571064987x690974761971941800","ИИ-агенты","Feb 4, 2025 10:17 pm","Feb 26, 2025 7:01 pm","","(deleted thing)"
"1738730220360x744289768185314400 , 1738829758629x207658682334763700 , 1739186926798x982798774821567600 , 1739334081786x256269544661108500 , 1739334251585x157184095135017630 , 1739335409145x996949333925389400 , 1739339200663x729756985899743000 , 1739517061739x111392659930064080 , 1739518958356x311313447428294340 , 1739852847725x254630501223243260 , 1739852912716x245191111456880540 , 1739852893955x751500712740687000 , 1739852536888x301892907585165500 , 1739716203390x469611411159445200","ИИ в бизнесе","Feb 4, 2025 10:17 pm","Feb 18, 2025 11:37 am","","(deleted thing)"
"1738730369189x515045757654930300 , 1739334544285x746539987693534000 , 1739334790435x677539104105995300 , 1739335215880x230414391906652600 , 1739335339357x783475205487391700 , 1739696689603x796998448080903600 , 1740214858319x460355827420035000 , 1740461604102x966289918701203700","Кейсы и международные практики","Feb 4, 2025 10:17 pm","Feb 26, 2025 6:50 pm","","(deleted thing)"
"1738730168803x514806593664815400 , 1739186859588x968279647126123000","Генеративный ИИ","Feb 4, 2025 10:18 pm","Feb 10, 2025 7:17 pm","","(deleted thing)"
"1738829882133x283718991474455330 , 1739190722036x514840346141159040 , 1740020541514x436139362482307140","ML и DL","Feb 4, 2025 10:18 pm","Feb 20, 2025 10:11 am","","(deleted thing)"
"1712313215533x518577049410207740 , 1738729981348x485562023553552500 , 1738816444528x540666776005608960 , 1738830025880x351728597561572500 , 1738830294862x328465396825005060 , 1739187057967x822371112808719200 , 1739186707671x894065055901590500 , 1739186913286x628919723037579800 , 1739190641295x291880934063911040 , 1739190694327x806167670034736400 , 1739190750473x655400895561405700 , 1739332202560x354104543447588030 , 1739334280830x455398482882479740 , 1739334367056x972515240985221400 , 1739335059208x117723100200693760 , 1739335204634x287608428137652320 , 1739516941571x367651248994859300 , 1739516960411x515527534654380160 , 1739517076249x816898228883449200 , 1739517093957x169485374290078820 , 1739517120592x675279476628833900 , 1739517136667x372867138765420540 , 1739517260724x257809467908918240 , 1739518583379x575969751742067650 , 1739696511804x778709995686797800 , 1739852824579x578388217887047200 , 1740034054822x449866162450893300 , 1740034275319x594840882368758100 , 1740034449473x391602029313750800 , 1740214733485x388749719868810560 , 1740294882270x373110614929453000 , 1740571046436x473800038112900000 , 1740570922969x428794993609299650 , 1740625266267x778760491639745900 , 1740625103413x579318216030479200 , 1740625015985x895015826728599300","Инструменты и платформы ИИ","Feb 4, 2025 10:18 pm","Feb 27, 2025 10:40 am","","(deleted thing)"
"1738816362644x270088284563574140 , 1738829916866x161222010640295740 , 1738829946290x977567461771365500 , 1739186778809x485703180002989400 , 1739186826457x287634750101388700 , 1739334170168x976186363236340600 , 1739334266174x750042298728815100 , 1739334577487x621682563967376600 , 1739517167183x720033554410038000 , 1739696420616x504727162061214600 , 1739961857472x159690127125337020 , 1740034214942x462600954017964740 , 1740461732060x633300713976237200 , 1740625255217x851377987256333400","Этика и регулирование ИИ","Feb 4, 2025 10:18 pm","Feb 27, 2025 10:13 am","","(deleted thing)"
"1739187022244x212723836517032960 , 1739696409773x362258360653392900 , 1740625400023x208996224926721440 , 1740625366288x440657985391738940","ИИ и Робототехника","Feb 4, 2025 10:18 pm","Feb 27, 2025 10:11 am","","(deleted thing)"
"1738829994422x983024087405697900 , 1739334105294x582334235303348700 , 1739334403553x631595935790205400 , 1739334624889x884338849117863700 , 1739517297144x355713437914541900 , 1739517310482x574857287578138800 , 1739517397973x295778594151386000 , 1739517613080x149042761354811760 , 1739852522383x219614063670447330 , 1739961806860x598165095220104300 , 1740020796828x529454384652234600 , 1740034119978x265737249969854500 , 1740034250128x239006842338998370 , 1740034360367x168395241442561570 , 1740034426101x304400653592728800 , 1740034478426x676643230519742500 , 1740214544882x613222868594193400 , 1740214563954x165585511342249300 , 1740214580638x922212388688388000 , 1740214702206x401082251393723970 , 1740214689874x760608561389804200 , 1740294830747x470941291607136700 , 1740571204844x586066063800119400 , 1740571443474x713920734878299600 , 1740571320645x258795637923776350 , 1740571139196x655167952250987400 , 1740625203854x534386266256187140","Тренды ИИ","Feb 4, 2025 10:18 pm","Feb 27, 2025 10:23 am","","(deleted thing)"
"1738754201618x472405265592079600 , 1738754219441x699937669659380000 , 1739961655502x485278580860376600","Crypto AI","Feb 4, 2025 10:19 pm","Feb 19, 2025 5:54 pm","","(deleted thing)"
"1738730318227x111689385463489280 , 1739334030977x338810968901281500 , 1739517036272x921591794164381800 , 1740034033369x498675027443253840 , 1740214788504x579952413339192200","ИИ и кибербезопасность","Feb 4, 2025 10:19 pm","Feb 22, 2025 4:00 pm","","(deleted thing)"
"1738754145862x501904876925346900 , 1740020836034x135830264297113650 , 1740034143872x674539981143786900 , 1740034178369x788570402497288600 , 1740034230910x721692014536887700","ИИ в игровой индустрии","Feb 4, 2025 10:19 pm","Feb 20, 2025 1:51 pm","","(deleted thing)"
"1738730238801x395412218363833100 , 1738829739504x142354214570269870 , 1738829627388x306661184360958140 , 1738829773284x584827031550618400 , 1738829799783x306679998921641340 , 1738829982303x811507413757555100 , 1738830082196x704306705852640600 , 1739186901417x860036529857324300 , 1739332360454x132623931166608200 , 1739334124148x361784975184155100 , 1739334141420x510047444256072100 , 1739334845888x869503150271397600 , 1739335030015x658865859821339800 , 1739516804462x601269169334932700 , 1739516874166x541159997749560700 , 1739516901162x601975599255791700 , 1739517198926x260209100105010620 , 1739517212276x801436950093496600 , 1739517250688x971374106703033700 , 1739517353925x655325027793856800 , 1739518437901x488350330777720400 , 1739696437365x536912494397080200 , 1739852716097x783705870312635400 , 1739852604962x755709583201494400 , 1739961753758x524062701783101200 , 1739961530185x142515207285502700 , 1739961505470x933651814739771400 , 1739963276761x327796746796843200 , 1739963256988x869594581034300400 , 1740020704117x942587691235758900 , 1740034107090x821347318010226000 , 1740034191849x264082893638738940 , 1740034342947x626754229176761200 , 1740034377768x308852918898794300 , 1740214716589x764885543291391700 , 1740214947722x427779271242173760 , 1740215000789x517215408433092200 , 1740294892501x902683237130428000 , 1740461614750x784044996430726500 , 1740571293496x669413846988284000 , 1740571012380x553689500144880500 , 1740625326536x727392130825927800 , 1740625164867x340551314688963140 , 1740625133214x948167788128795500","Другое","Feb 4, 2025 10:19 pm","Feb 27, 2025 10:29 am","","(deleted thing)"
